date,fra_hard-coal,fra_gas,fra_oil,fra_other-non-renewables,fra_wind-on-shore,fra_wind-off-shore,fra_solar-pv,fra_nuclear,fra_other-renewables,fra_failure
2025-01-01 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,57589.0,7500.0,-0.0
2025-01-01 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55559.0,7500.0,-0.0
2025-01-01 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60421.0,-0.0,-0.0
2025-01-01 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58690.0,-0.0,-0.0
2025-01-01 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58400.0,-0.0,-0.0
2025-01-01 05:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59123.0,-0.0,-0.0
2025-01-01 06:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59777.0,-0.0,-0.0
2025-01-01 07:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60473.0,-0.0,-0.0
2025-01-01 08:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54714.0,7500.0,-0.0
2025-01-01 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,56451.0,7500.0,-0.0
2025-01-01 10:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58806.0,7500.0,-0.0
2025-01-01 11:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60778.0,7500.0,-0.0
2025-01-01 12:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58318.0,7500.0,-0.0
2025-01-01 13:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,56091.0,7500.0,-0.0
2025-01-01 14:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55176.0,7500.0,-0.0
2025-01-01 15:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54926.0,7500.0,-0.0
2025-01-01 16:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59059.0,7500.0,-0.0
2025-01-01 17:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,61386.0,7500.0,-0.0
2025-01-01 18:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,61043.0,7500.0,-0.0
2025-01-01 19:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58937.0,7500.0,-0.0
2025-01-01 20:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,57090.0,7500.0,-0.0
2025-01-01 21:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59608.0,7500.0,-0.0
2025-01-01 22:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59815.0,7500.0,-0.0
2025-01-01 23:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55713.0,7500.0,-0.0
2025-01-02 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55029.0,7500.0,-0.0
2025-01-02 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60849.0,-0.0,-0.0
2025-01-02 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59207.0,-0.0,-0.0
2025-01-02 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58904.0,-0.0,-0.0
2025-01-02 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60665.0,-0.0,-0.0
2025-01-02 05:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58243.0,7500.0,-0.0
2025-01-02 06:00:00,-0.0,-0.0,-0.0,-0.0,283.5,220.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 07:00:00,-0.0,218.4000000000001,-0.0,-0.0,2550.6,249.0,-0.0,61400.0,7500.0,-0.0
2025-01-02 08:00:00,-0.0,-0.0,-0.0,-0.0,1363.0,264.0,3657.0,61400.0,7500.0,-0.0
2025-01-02 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5769.0,61400.0,7500.0,-0.0
2025-01-02 10:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7639.0,61400.0,7500.0,-0.0
2025-01-02 11:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8496.0,61400.0,7500.0,-0.0
2025-01-02 12:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6566.0,61400.0,7500.0,-0.0
2025-01-02 13:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5306.0,61400.0,7500.0,-0.0
2025-01-02 14:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4485.0,61400.0,7500.0,-0.0
2025-01-02 15:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4763.0,61400.0,7500.0,-0.0
2025-01-02 16:00:00,-0.0,5379.2,-0.0,-0.0,1684.8,117.0,1325.0,61400.0,7500.0,-0.0
2025-01-02 17:00:00,-0.0,8220.3,-0.0,-0.0,1942.2,172.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 18:00:00,-0.0,5344.5,-0.0,-0.0,2340.0,235.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 19:00:00,-0.0,1109.9,-0.0,-0.0,2550.6,265.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 20:00:00,-0.0,-0.0,-0.0,-0.0,1088.5,277.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 21:00:00,-0.0,279.1999999999998,-0.0,-0.0,2971.8,279.0,-0.0,61400.0,7500.0,-0.0
2025-01-02 22:00:00,-0.0,618.9000000000001,-0.0,-0.0,2433.6,199.5,-0.0,61400.0,7500.0,-0.0
2025-01-02 23:00:00,-0.0,-0.0,-0.0,-0.0,783.5,217.5,-0.0,61400.0,7500.0,-0.0
2025-01-03 00:00:00,-0.0,-0.0,-0.0,-0.0,56.0,231.0,-0.0,61400.0,7500.0,-0.0
2025-01-03 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59966.0,7500.0,-0.0
2025-01-03 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58302.0,7500.0,-0.0
2025-01-03 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,57884.0,7500.0,-0.0
2025-01-03 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60108.0,7500.0,-0.0
2025-01-03 05:00:00,-0.0,544.9000000000001,-0.0,-0.0,3837.6,478.5,-0.0,61400.0,7500.0,-0.0
2025-01-03 06:00:00,-0.0,5132.2,-0.0,-0.0,4024.8,528.0,-0.0,61400.0,7500.0,-0.0
2025-01-03 07:00:00,-0.0,6797.6,-0.0,-0.0,4235.4,597.0,-0.0,61400.0,7500.0,-0.0
2025-01-03 08:00:00,-0.0,3488.2,-0.0,-0.0,4492.8,666.0,3816.0,61400.0,7500.0,-0.0
2025-01-03 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11856.0,61400.0,7500.0,-0.0
2025-01-03 10:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12589.0,61400.0,7500.0,-0.0
2025-01-03 11:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12472.0,61400.0,7500.0,-0.0
2025-01-03 12:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10253.0,61400.0,7500.0,-0.0
2025-01-03 13:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8718.0,61400.0,7500.0,-0.0
2025-01-03 14:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7523.0,61400.0,7500.0,-0.0
2025-01-03 15:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7837.0,61400.0,7500.0,-0.0
2025-01-03 16:00:00,-0.0,4630.5,-0.0,-0.0,5031.0,982.5,1378.0,61400.0,7500.0,-0.0
2025-01-03 17:00:00,-0.0,7616.7,-0.0,-0.0,5896.8,1012.5,-0.0,61400.0,7500.0,-0.0
2025-01-03 18:00:00,-0.0,4354.9,-0.0,-0.0,6645.6,1072.5,-0.0,61400.0,7500.0,-0.0
2025-01-03 19:00:00,-0.0,-0.0,-0.0,-0.0,6292.5,1138.5,-0.0,61400.0,7500.0,-0.0
2025-01-03 20:00:00,-0.0,-0.0,-0.0,-0.0,3317.0,1221.0,-0.0,61400.0,7500.0,-0.0
2025-01-03 21:00:00,-0.0,-0.0,-0.0,-0.0,5147.0,1293.0,-0.0,61400.0,7500.0,-0.0
2025-01-03 22:00:00,-0.0,-0.0,-0.0,-0.0,4757.0,1299.0,-0.0,61400.0,7500.0,-0.0
