date,fra_nuclear,fra_gas,fra_oil,fra_other_non_renewables,fra_wind_onshore,fra_wind_offshore,fra_solar_pv,fra_other_renewables,fra_failure
2025-01-01 00:00:00,37566.114069999996,-0.0,-0.0,-0.0,4980.21093,1702.675,-0.0,2265.0,-0.0
2025-01-01 01:00:00,35008.75917,-0.0,-0.0,-0.0,5220.80083,1805.44,-0.0,2265.0,-0.0
2025-01-01 02:00:00,31490.47745,-0.0,-0.0,-0.0,5894.45255,1890.07,-0.0,2265.0,-0.0
2025-01-01 03:00:00,28772.12982,-0.0,-0.0,-0.0,6784.63518,1912.235,-0.0,2265.0,-0.0
2025-01-01 04:00:00,27207.49027,-0.0,-0.0,-0.0,7867.28973,1910.22,-0.0,2265.0,-0.0
2025-01-01 05:00:00,26632.556780000003,-0.0,-0.0,-0.0,9094.29822,1900.145,-0.0,2265.0,-0.0
2025-01-01 06:00:00,25828.786269999997,-0.0,-0.0,-0.0,10273.18873,1884.025,-0.0,2265.0,-0.0
2025-01-01 07:00:00,24581.01293,-0.0,-0.0,-0.0,11861.08207,1867.905,-0.0,2265.0,-0.0
2025-01-01 08:00:00,23716.175819999997,-0.0,-0.0,-0.0,13112.14955,1857.83,672.84463,2265.0,-0.0
2025-01-01 09:00:00,23192.891970000004,-0.0,-0.0,-0.0,14435.394,1849.77,1763.94403,2265.0,-0.0
2025-01-01 10:00:00,23635.390790000005,-0.0,-0.0,-0.0,14748.16087,1845.74,3018.70834,2265.0,-0.0
2025-01-01 11:00:00,24038.614530000006,-0.0,-0.0,-0.0,15301.51764,1843.725,3946.14283,2265.0,-0.0
2025-01-01 12:00:00,20953.019719999997,-0.0,-0.0,-0.0,15662.40249,1839.695,4018.88279,2265.0,-0.0
2025-01-01 13:00:00,18955.951520000002,-0.0,-0.0,-0.0,16071.40532,1827.605,3346.03816,2265.0,-0.0
2025-01-01 14:00:00,18410.60207,-0.0,-0.0,-0.0,16336.05421,1835.665,2327.67872,2265.0,-0.0
2025-01-01 15:00:00,18894.02155,-0.0,-0.0,-0.0,16696.93906,1847.755,1109.28439,2265.0,-0.0
2025-01-01 16:00:00,23146.01797,-0.0,-0.0,-0.0,16745.05704,1845.74,18.18499,2265.0,-0.0
2025-01-01 17:00:00,25185.05599,-0.0,-0.0,-0.0,16817.23401,1841.71,-0.0,2265.0,-0.0
2025-01-01 18:00:00,25436.93801,-0.0,-0.0,-0.0,16865.35199,1841.71,-0.0,2265.0,-0.0
2025-01-01 19:00:00,22918.74604,-0.0,-0.0,-0.0,16937.52896,1843.725,-0.0,2265.0,-0.0
2025-01-01 20:00:00,21214.851039999998,-0.0,-0.0,-0.0,16937.52896,1829.62,-0.0,2265.0,-0.0
2025-01-01 21:00:00,23672.294980000002,-0.0,-0.0,-0.0,16793.17502,1817.53,-0.0,2265.0,-0.0
2025-01-01 22:00:00,24766.542759999997,-0.0,-0.0,-0.0,16263.87724,1555.58,-0.0,2265.0,-0.0
2025-01-01 23:00:00,20634.91973,-0.0,-0.0,-0.0,16191.70027,1394.38,-0.0,2265.0,-0.0
2025-01-02 00:00:00,19498.51675,-0.0,-0.0,-0.0,16239.81825,1432.665,-0.0,2265.0,-0.0
2025-01-02 01:00:00,17585.038619999996,-0.0,-0.0,-0.0,15927.05138,1599.91,-0.0,2265.0,-0.0
2025-01-02 02:00:00,16064.639480000002,-0.0,-0.0,-0.0,15590.22552,1630.135,-0.0,2265.0,-0.0
2025-01-02 03:00:00,16339.86221,-0.0,-0.0,-0.0,14940.63279,1545.505,-0.0,2265.0,-0.0
2025-01-02 04:00:00,18220.25302,-0.0,-0.0,-0.0,14483.51198,1509.235,-0.0,2265.0,-0.0
2025-01-02 05:00:00,22712.373980000004,-0.0,-0.0,-0.0,14387.27602,1793.35,-0.0,2265.0,-0.0
2025-01-02 06:00:00,24732.346449999997,-0.0,-0.0,-0.0,15518.04855,1827.605,-0.0,2265.0,-0.0
2025-01-02 07:00:00,25689.45493,-0.0,-0.0,-0.0,16672.88007,1835.665,-0.0,2265.0,-0.0
2025-01-02 08:00:00,25918.3306,-0.0,-0.0,-0.0,17875.82957,1839.695,309.14483,2265.0,-0.0
2025-01-02 09:00:00,26005.118059999997,-0.0,-0.0,-0.0,17923.94755,1833.65,1109.28439,2265.0,-0.0
2025-01-02 10:00:00,27077.94357,-0.0,-0.0,-0.0,17563.0627,1813.5,2309.49373,2265.0,-0.0
2025-01-02 11:00:00,27735.159839999997,-0.0,-0.0,-0.0,16865.35199,1831.635,3327.85317,2265.0,-0.0
2025-01-02 12:00:00,26016.02381,-0.0,-0.0,-0.0,16360.1132,1837.68,3655.18299,2265.0,-0.0
2025-01-02 13:00:00,25567.82767,-0.0,-0.0,-0.0,16215.75926,1841.71,3509.70307,2265.0,-0.0
2025-01-02 14:00:00,25106.822360000002,-0.0,-0.0,-0.0,16456.34916,1841.71,2764.11848,2265.0,-0.0
2025-01-02 15:00:00,25245.122320000002,-0.0,-0.0,-0.0,17899.88856,1841.71,1600.27912,2265.0,-0.0
2025-01-02 16:00:00,29716.467740000004,-0.0,-0.0,-0.0,18405.12735,1845.74,163.66491,2265.0,-0.0
2025-01-02 17:00:00,32118.075479999996,-0.0,-0.0,-0.0,17996.12452,1853.8,-0.0,2265.0,-0.0
